1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,School,Conference,Power 5,Bowl Outcome,Bowl Appearance,Bowl Win,Overall Wins,Overall Losses,Overall W/L %,Strength of Schedule,Win % X SOS,Conf Wins,Conf Losses,Conf W/L %,AVG Point Diff,StDev Point Diff,AVG PPG (for),StDev PPG (for),AVG PPG (against),StDev PPG (against),PPG (Own),PPG (Opp),Point Differential,AP Rank (Preseason),AP Rank (Season High),Total Offensive Plays per Game,Total Yards per Game,Avg Yards per Play,Passing Attempts per Game,Passing Yards per Game,Passing Yards per Attempt,Completion %,Interceptions per Season,Passer Rating,Passing TDs,Rushing Attempts per Game,Rushing Yards per Game,Rushing Yards per Attempt,Rushing TDs,Field Goals,TDs Allowed,FG Allowed,1XP Allowed,2XP Allowed,Safeties For,Points Against,Points Against per Game,defRu Attempts,defRu Yards,defAvg YPR,defRu TD,defRu Att/gm,defRu Yds/Gm,defPass Att,defPass Comp,defComp Pct.,defPass Yards,defPass Yards/Att,defPass TD,defPassInt,defPass Rating,defPass Att/GM,defPass Yds/Gm,defTot Ru Yds,defTot Pass Yds,defTot Plays,defTot Yds Against,defTot Yds/ply,defTot Yds/Gm,Kickoff Ret.,Kick Rtrn Yards,Kick Rtrn Avg.,Kick RtrnTD,Kick Ret./G,Kick Ret Yards/G,Punt Ret.,Punt RtrnYards,Punt Rtrn Avg.,Punt Rtrn TD,Punt Ret./G,Punt Rtrn Yards/G,Opp KickRet.,Opp Kick Rtrn Yards,Opp Kick Rtrn Avg., Opp Kick Rtrn TD,Opp Kick Ret./G, Opp Kick Rtrn Yards/G,Opp Punt Ret.,Opp Punt Rtrn Yards,Opp Punt Rtrn Avg.,Opp Punt Rtrn TD,Opp Punt RtrnRet./G,Opp Punt Rtrn Yards/G,FG Att.,FG Made,FG Made Pct.,FG Att/G,FG Made/G,Kicks/Punts Blocked,Kicks/Punts Blocked/G,Fum. Gain,Int. Gain,Total Gain,Fum. Lost,Int. Lost,Total Lost,Turnover Margin,Turnover Margin/G,# of Penalties,Penalty Yards,Pen./G,Penalty Yards/G,Coach Career Rcd Win %,Coach Sch Rcd Win %,STUDENTAID_MEN ($),FTE_HDCOACH_MEN,AssistCOACH_SAL_FTE_MEN ($),FTE_ASCOACH_MEN,MEN_TOTAL_ASSTCOACH_Football,REV_MEN_Football ($),EXP_MEN_Football ($) ,Profit_MEN_Football ($),sector_name,,,,,,,,
2014,Florida State,ACC (Atlantic),YES,Lost,YES,NO,13,1,0.929,36.6,34.0014,9,0,100%,12.6,11.0,34.6,10.0,22.0,10.0,33.7,25.6,8.1,1,1,69.11,441.4,6.39,36.9,303.3,8.2,64,20,141.95,26,32.21,138.07,4.29,27,27,44,18,38,1,0,358,25.6,573,2382,4.16,21,40.93,170.14,435,248,57,3175,7.3,22,14,128.57,31.1,226.8,2382,3175,1008,5557,5.51,396.9,49,971,19.82,0,3.5,69.4,17,179,10.53,0,1.2,12.8,45,846,18.8,0,3.2,60.4,13,92,7.08,0,0.9,6.6,30,27,90,2.1,1.9,2,0.14,12,14,26,12,20,32,-6,-0.43,88,683,6.3,48.8,84%,84%,5228565,6,283488,20,21,57389055,32856508,24532547,"Public, 4-year or above",,,,,,,,
2014,Clemson,ACC (Atlantic),YES,Won,YES,YES,10,3,0.769,31.8,24.4542,6,2,75%,12.5,25.1,30.1,18.2,17.6,13.8,30.8,16.7,14.1,16,15,76.16,408.3,5.36,34.7,261.8,7.5,64.7,12,139.66,23,41.46,146.46,3.53,20,21,27,11,22,0,0,217,16.7,453,1344,2.97,11,34.85,103.38,388,194,50,2046,5.3,12,12,98.31,29.8,157.4,1344,2046,841,3390,4.03,260.8,29,544,18.76,0,2.2,41.8,35,199,5.69,1,2.7,15.3,41,816,19.9,1,3.2,62.8,27,174,6.44,0,2.1,13.4,28,21,75,2.2,1.6,1,0.08,12,12,24,6,12,18,6,0.46,52,450,4,34.6,70%,70%,6741145,6.5,345367,20.5,9,42427250,24748157,17679093,"Public, 4-year or above",,,,,,,,
2014,Louisville,ACC (Atlantic),YES,Lost,YES,NO,9,4,0.692,33.3,23.0436,5,3,63%,12.1,16.0,32.6,13.0,20.5,12.1,31.2,21.8,9.4,50,20,72.21,394.7,5.46,32.9,252,7.7,55.4,10,131.18,21,39.31,142.69,3.63,28,15,31,23,26,1,0,283,21.8,435,1416,3.26,12,33.46,108.92,410,221,53.9,2595,6.3,14,26,105.65,31.5,199.6,1416,2595,845,4011,4.75,308.5,36,758,21.06,1,2.8,58.3,37,274,7.41,0,2.8,21.1,45,1017,22.6,0,3.5,78.2,31,301,9.71,1,2.4,23.2,19,15,78.9,1.5,1.2,1,0.08,4,26,30,16,10,26,4,0.31,90,641,6.9,49.3,73%,79%,5053181,7,189413,24.5,9,26515411,21567494,4947917,"Public, 4-year or above",,,,,,,,
2014,Boston College,ACC (Atlantic),YES,Lost,YES,NO,7,6,0.538,29.1,15.6558,4,4,50%,5.4,14.6,25.9,8.4,20.5,10.3,26.2,21.3,4.9,50,50,67.55,384,5.69,18.7,129.3,6.9,55.6,10,123.1,13,48.85,254.69,5.21,31,12,34,13,34,0,0,277,21.3,399,1228,3.08,14,30.69,94.46,423,264,62.4,2987,7.1,20,9,133.06,32.5,229.8,1228,2987,822,4215,5.13,324.2,35,910,26,1,2.7,70,16,125,7.81,0,1.2,9.6,47,862,18.34,0,3.6,66.3,28,181,6.46,0,2.2,13.9,19,12,63.2,1.5,0.9,1,0.08,5,9,14,3,10,13,1,0.08,58,498,4.5,38.3,54%,54%,9389071,8.4,182631,17.81,9,23991382,19920330,4071052,"Private nonprofit, 4-year or above",,,,,,,,
2014,North Carolina State,ACC (Atlantic),YES,Won,YES,YES,8,5,0.615,27.6,16.974,3,5,38%,2.8,26.8,29.8,15.0,27.0,17.8,30.2,27,3.2,50,50,68.38,408.5,5.97,29.3,204,7,58.8,6,134.9,24,39.08,204.54,5.23,26,12,44,15,42,0,0,351,27,521,2189,4.2,21,40.08,168.38,405,226,55.8,2661,6.6,19,10,121.53,31.2,204.7,2189,2661,926,4850,5.24,373.1,36,658,18.28,0,2.8,50.6,17,62,3.65,0,1.3,4.8,27,508,18.81,0,2.1,39.1,28,217,7.75,0,2.2,16.7,17,12,70.6,1.3,0.9,0,0,10,10,20,9,6,15,5,0.38,62,543,4.8,41.8,65%,44%,5121848,8.5,184647,24,9,38020861,17988989,20031872,"Public, 4-year or above",,,,,,,,
2014,Syracuse,ACC (Atlantic),YES,No Appearance,NO,NO,3,9,0.25,29,7.25,1,7,13%,-7.3,18.9,17.1,10.9,24.3,10.5,17.1,24.3,-7.2,50,50,67.23,329.9,4.91,31.9,184.1,5.8,54,17,98.79,6,35.33,145.83,4.13,12,17,33,19,31,1,2,292,24.3,493,1671,3.39,9,41.08,139.25,345,225,65.2,2519,7.3,19,8,140.08,28.8,209.9,1671,2519,838,4190,5,349.2,35,637,18.2,0,2.9,53.1,20,167,8.35,0,1.7,13.9,32,637,19.91,1,2.7,53.1,23,329,14.3,2,1.9,27.4,23,17,73.9,1.9,1.4,0,0,12,8,20,4,17,21,-1,-0.08,86,717,7.2,59.8,40%,40%,7851660,5.5,233662,19.6,13,38532172,23622247,14909925,"Private nonprofit, 4-year or above",,,,,,,,
2014,Wake Forest,ACC (Atlantic),YES,No Appearance,NO,NO,3,9,0.25,27.9,6.975,1,7,13%,-11.6,15.3,14.8,7.6,26.4,13.4,14.8,26.4,-11.6,50,50,64.02,216.3,3.38,32.1,176.3,5.5,58.4,14,107.63,12,31.92,39.92,1.25,4,15,38,18,35,0,0,317,26.4,501,2192,4.38,20,41.75,182.67,348,211,60.6,2239,6.4,12,6,122.61,29,186.6,2192,2239,849,4431,5.22,369.3,36,664,18.44,0,3,55.3,19,165,8.68,1,1.6,13.8,25,515,20.6,0,2.1,42.9,15,89,5.93,0,1.3,7.4,19,15,78.9,1.6,1.3,4,0.33,13,6,19,7,14,21,-2,-0.17,60,574,5,47.8,51%,25%,8488078,6.5,148080,20,9,18690208,18690208,0,"Private nonprofit, 4-year or above",,,,,,,,
2014,Georgia Tech,ACC (Coastal),YES,Won,YES,YES,11,3,0.786,36.6,28.7676,6,3,67%,13.1,12.9,37.2,10.6,24.1,11.4,37.9,25.7,12.2,50,8,70.93,476.5,6.72,14.5,134.4,9.3,52.2,6,155.08,19,56.43,342.07,6.06,47,11,44,18,38,2,0,360,25.7,463,2346,5.07,24,33.07,167.57,448,282,62.9,3412,7.6,19,18,132.88,32,243.7,2346,3412,911,5758,6.32,411.3,41,892,21.76,0,2.9,63.7,12,97,8.08,0,0.9,6.9,33,747,22.64,0,2.4,53.4,16,105,6.56,0,1.1,7.5,18,11,61.1,1.3,0.8,6,0.43,11,18,29,12,6,18,11,0.79,69,576,4.9,41.1,69%,62%,5936469,6.5,178596,20.5,9,34306164,18992117,15314047,"Public, 4-year or above",,,,,,,,
2014,Duke,ACC (Coastal),YES,Lost,YES,NO,9,4,0.692,27.3,18.8916,5,3,63%,11.9,19.7,32.5,14.2,20.6,13.4,32.4,21.8,10.6,50,19,74.05,398.3,5.38,36.2,216.5,6,56.9,8,119.8,23,37.85,181.85,4.8,24,19,34,17,28,0,0,283,21.8,564,2508,4.45,19,43.38,192.92,421,235,55.8,2688,6.4,14,11,115.19,32.4,206.8,2508,2688,985,5196,5.28,399.7,36,909,25.25,1,2.8,69.9,24,325,13.54,2,1.8,25,51,1186,23.25,0,3.9,91.2,16,33,2.06,0,1.2,2.5,21,19,90.5,1.6,1.5,1,0.08,10,11,21,7,8,15,6,0.46,64,503,4.9,38.7,52%,46%,9164312,10.5,200769,27,9,25243479,20579547,4663932,"Private nonprofit, 4-year or above",,,,,,,,
2014,North Carolina,ACC (Coastal),YES,Lost,YES,NO,6,7,0.462,30,13.86,4,4,50%,-4.7,19.3,34.3,14.2,38.9,13.8,33.2,39,-5.8,23,21,77.35,429.8,5.56,39.2,278.4,7.1,61.9,13,135.3,29,38.15,151.38,3.97,26,6,67,12,61,1,3,507,39,599,3126,5.22,33,46.08,240.46,392,230,58.7,3346,8.5,31,12,150.35,30.2,257.4,3126,3346,991,6472,6.53,497.8,49,1046,21.35,0,3.8,80.5,38,173,4.55,0,2.9,13.3,34,592,17.41,0,2.6,45.5,14,58,4.14,0,1.1,4.5,13,6,46.2,1,0.5,3,0.23,11,12,23,10,13,23,0,0,99,821,7.6,63.2,60%,55%,6776282,9.5,147361,27.38,9,33261045,17982090,15278955,"Public, 4-year or above",,,,,,,,
